4951,Company,Industry,Industry-Sub,Location,Year,Notes/References,Glassdoor Overall Star Rating (out of 5),Glassdoor Reviews Total,Indeed Overall Star Rating (out of 5),Indeed Reviews Total,Comparably Overall Star Rating,Comparably Reviews Total,,,,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1979,"Glassdoor source: https://www.glassdoor.com/Reviews/AutoZone-Reviews-E610.htm
Indeed source: https://www.indeed.com/cmp/Autozone/reviews
Comparably source: https://www.comparably.com/companies/autozone",3.4,6252,3.4,15234,2.7,17336,,,,
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",1963,"Glassdoor source: https://www.glassdoor.com/Reviews/Bath-and-Body-Works-Reviews-E13902.htm
Indeed source: https://www.indeed.com/cmp/Bath-&-Body-Works/reviews
Comparably source: https://www.comparably.com/companies/bath-body-works",3.8,9494,3.8,"11,087",3.8,5598,,,,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1966,"Glassdoor source: https://www.glassdoor.com/Reviews/Best-Buy-Reviews-E97.htm
Indeed source: https://www.indeed.com/cmp/Best-Buy/reviews
Comparably source: https://www.comparably.com/companies/best-buy",3.6,36851,3.8,"37,215",3.9,12107,,,,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1996,"Glassdoor source: https://www.glassdoor.com/Reviews/Booking-Holdings-Reviews-E1398057.htm
Indeed source: https://www.indeed.com/cmp/Booking.com/reviews
Comparably source: https://www.comparably.com/companies/priceline-com",3.8,22,3.7,1096,2.5,369,,,,
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",1880,"Glassdoor source: https://www.glassdoor.com/Reviews/BorgWarner-Reviews-E1652.htm
Indeed source: https://www.indeed.com/cmp/Borgwarner/reviews
Comparably source: https://www.comparably.com/companies/borgwarner",3.9,1052,3.7,"1,285",4.7,583,,,,
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"Palo Alto, California",1961,"Glassdoor source: https://www.glassdoor.com/Reviews/Broadcom-Reviews-E6926.htm
Indeed source: https://www.indeed.com/cmp/Broadcom/reviews
Comparably source: https://www.comparably.com/companies/broadcom-limited",3.4,4105,3.8,872,3.4,2066,,,,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1870,"Glassdoor source: https://www.glassdoor.com/Reviews/Brown-Forman-Reviews-E797.htm
Indeed source: https://www.indeed.com/cmp/Brown--forman/reviews
Comparably source: https://www.comparably.com/companies/brown-forman",4.3,548,3.7,170,4.2,378,,,,
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",1818,"Glassdoor source: https://www.glassdoor.com/Reviews/Bunge-Limited-Reviews-E9013.htm
Indeed source: https://www.indeed.com/cmp/Bunge/reviews
Comparably source: https://www.comparably.com/companies/bunge",4,932,4.1,1496,4.5,549,,,,
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",1988,"Glassdoor source: https://www.glassdoor.com/Reviews/Cadence-Design-Systems-Reviews-E1217.htm
Indeed source: https://www.indeed.com/cmp/Cadence-Design-Systems/reviews
Comparably source: https://www.comparably.com/companies/cadence-design-systems",4.3,2253,4.2,235,4.1,436,,,,
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",1973,"Glassdoor source: https://www.glassdoor.com/Reviews/Caesars-Entertainment-Reviews-E367190.htm
Indeed source: https://www.indeed.com/cmp/Caesars-Entertainment/reviews
Comparably source: https://www.comparably.com/companies/caesars-entertainment",3.4,2985,3.7,5512,2.6,2005,,,,
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869,"Glassdoor source: https://www.glassdoor.com/Reviews/Campbell-s-Reviews-E129.htm
Indeed source: https://www.indeed.com/cmp/Campbell's-7/reviews
Comparably source: https://www.comparably.com/companies/campbell-soup-company",3.8,1203,3.7,846,2.5,1030,,,,
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",1993,"Glassdoor source: https://www.glassdoor.com/Reviews/CarMax-Reviews-E6561.htm
Indeed source: https://www.indeed.com/cmp/Carmax/reviews
Comparably source: https://www.comparably.com/companies/carmax",3.7,6884,3.5,6020,4.1,4942,,,,
