4951,Company,Industry,Industry-Sub,Location,Year,Notes/References,Glassdoor Overall Star Rating (out of 5),Glassdoor Reviews Total,Indeed Overall Star Rating (out of 5),Indeed Reviews Total,Comparably Overall Star Rating,Comparably Reviews Total,,,,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1919,"Glassdoor source: https://www.glassdoor.com/Reviews/Hilton-Reviews-E330.htm
Indeed source: https://www.indeed.com/cmp/Hilton/reviews
Comparably source: https://www.comparably.com/companies/hilton",4,9749,4,11470,3.2,12029,,,,
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1978,"Glassdoor source: https://www.glassdoor.com/Overview/Working-at-The-Home-Depot-EI_IE655.11,25.htm
Indeed source: https://www.indeed.com/cmp/The-Home-Depot/reviews
Comparably source: https://www.comparably.com/companies/the-home-depot",3.8,47939,3.7,64345,4.3,49060,,,,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1891,"Glassdoor source: https://www.glassdoor.com/Reviews/Hormel-Reviews-E877.htm
Indeed source: https://www.indeed.com/cmp/Hormel-Foods/reviews
Comparably source: https://www.comparably.com/companies/hormel-foods",3.6,587,3.5,523,4.2,697,,,,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015),"Glassdoor source: https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm
Indeed source: https://www.indeed.com/cmp/HP/reviews
Comparably source: https://www.comparably.com/companies/hp",4.1,7517,4,6205,4.3,4548,,,,
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911,"Glassdoor source: https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm
Indeed source: https://www.indeed.com/cmp/IBM/reviews
Comparably source: https://www.comparably.com/companies/ibm",4.1,93195,3.9,12162,4.7,90812,,,,
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1968,"Glassdoor source: https://www.glassdoor.com/Reviews/Intel-Corporation-Reviews-E1519.htm
Indeed source: https://www.indeed.com/cmp/Intel-Corporation/reviews
Comparably source: https://www.comparably.com/companies/intel",4.1,25478,4.1,4499,3.9,9946,,,,
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1961 (1930),"Glassdoor source: https://www.glassdoor.com/Reviews/IPG-Reviews-E1065414.htm
Indeed source: https://www.indeed.com/cmp/Interpublic-Group/reviews
Comparably source: https://www.comparably.com/companies/interpublic-group-of-companies",3.6,31,3.7,158,4.2,151,,,,
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",1983,"Glassdoor source: https://www.glassdoor.com/Reviews/Intuit-Reviews-E2293.htm
Indeed source: https://www.indeed.com/cmp/Intuit/reviews
Comparably source: https://www.comparably.com/companies/intuit",4.4,8827,4.2,1918,4.6,3688,,,,
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",1966,"Glassdoor source: https://www.glassdoor.com/Reviews/Jabil-Reviews-E2330.htm
Indeed source: https://www.indeed.com/cmp/Jabil-Inc/reviews
Comparably source: https://www.comparably.com/companies/jabil",3.8,2290,3.9,1630,4.5,1567,,,,
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",1996,"Glassdoor source: https://www.glassdoor.com/Reviews/Juniper-Networks-Reviews-E7224.htm
Indeed source: https://www.indeed.com/cmp/Juniper-Networks/reviews
Comparably source: https://www.comparably.com/companies/juniper-networks",4.2,4028,4,314,4.5,1932,,,,
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1906,"Glassdoor source: https://www.glassdoor.com/Reviews/Kellanova-Reviews-E377.htm
Indeed source: 
Comparably source: ",3.8,2739,3.6,2248,,,,,,
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2022 (Johnson & Johnson spinoff),"Glassdoor source: https://www.glassdoor.com/Reviews/Kenvue-Reviews-E8265614.htm
Indeed source: https://www.indeed.com/cmp/Kenvue-1/reviews?fcountry=ALL
Comparably source: ",3.7,161,3.5,28,,,,,,
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",1981,"Glassdoor source: https://www.glassdoor.com/Reviews/Keurig-Dr-Pepper-Reviews-E2134135.htm
Indeed source: https://www.indeed.com/cmp/Keurig-Dr-Pepper/reviews
Comparably source: https://www.comparably.com/companies/keurig-dr-pepper",3.4,1471,3.1,3861,4,3906,,,,
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014 (1939),"Glassdoor source: https://www.glassdoor.com/Reviews/Keysight-Technologies-Reviews-E877317.htm
Indeed source: https://www.indeed.com/cmp/Keysight-Technologies/reviews
Comparably source: https://www.comparably.com/companies/keysight-technologies",4,1647,3.9,179,4.6,2899,,,,
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1872,"Glassdoor source: https://www.glassdoor.com/Reviews/Kimberly-Clark-Reviews-E383.htm
Indeed source: https://www.indeed.com/cmp/Kimberly--clark/reviews
Comparably source: https://www.comparably.com/companies/kimberly-clark",4.1,2582,4.1,1564,4.2,1527,,,,
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1975/1977 (1997),"Glassdoor source: https://www.glassdoor.com/Reviews/KLA-Reviews-E1557.htm
Indeed source: https://www.indeed.com/cmp/Kla--tencor/reviews
Comparably source: https://www.comparably.com/companies/kla-tencor",4.1,1538,3.9,228,4.5,476,,,,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869),"Glassdoor source: https://www.glassdoor.com/Reviews/Kraft-Heinz-Reviews-E1026712.htm
Indeed source: https://www.indeed.com/cmp/Kraft-Heinz-3e502a27/reviews
Comparably source: https://www.comparably.com/companies/the-kraft-heinz-company",3.5,5156,3.5,3786,2.5,4127,,,,
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883,"Glassdoor source: https://www.glassdoor.com/Reviews/Kroger-Reviews-E386.htm
Indeed source: https://www.indeed.com/cmp/Kroger-54356a75/reviews
Comparably source: https://www.comparably.com/companies/kroger",3.2,20919,3.3,38138,2.6,35885,,,,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1980,"Glassdoor source: https://www.glassdoor.com/Reviews/Lam-Research-Reviews-E1582.htm
Indeed source: https://www.indeed.com/cmp/Lam-Research/reviews
Comparably source: https://www.comparably.com/companies/lam-research",4,1869,3.7,578,3.9,925,,,,
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2016 (1950),"Glassdoor source: https://www.glassdoor.com/Reviews/Lamb-Weston-Reviews-E911897.htm
Indeed source: https://www.indeed.com/cmp/Lamb-Weston/reviews
Comparably source: ",3.8,291,3.4,388,,,,,,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1988,"Glassdoor source: https://www.glassdoor.com/Reviews/Las-Vegas-Sands-Reviews-E12171.htm
Indeed source: https://www.indeed.com/cmp/Las-Vegas-Sands-Corp./reviews
Comparably source: https://www.comparably.com/companies/las-vegas-sands",3.4,171,3.4,91,3.9,116,,,,
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",1954,"Glassdoor source: https://www.glassdoor.com/Reviews/Lennar-Reviews-E400.htm
Indeed source: https://www.indeed.com/cmp/Lennar-e9dbb56c/reviews
Comparably source: https://www.comparably.com/companies/lennar-corporation",3.7,947,3.4,682,2.4,459,,,,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2010,"Glassdoor source: https://www.glassdoor.com/Reviews/Live-Nation-Entertainment-Reviews-E7601.htm
Indeed source: https://www.indeed.com/cmp/Live-Nation/reviews
Comparably source: https://www.comparably.com/companies/live-nation-entertainment",4,1799,4.1,1197,3.2,1972,,,,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",1998,"Glassdoor source: https://www.glassdoor.com/Reviews/LKQ-Reviews-E20395.htm
Indeed source: https://www.indeed.com/cmp/Lkq-Corporation/reviews
Comparably source: https://www.comparably.com/companies/lkq-corporation",3.8,1104,3,1789,2.8,4268,,,,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959,"Glassdoor source: https://www.glassdoor.com/Reviews/Lowe-s-Home-Improvement-Reviews-E415.htm
Indeed source: https://www.indeed.com/cmp/Lowe's-Home-Improvement/reviews
Comparably source: https://www.comparably.com/companies/lowe-s",3.5,41347,3.4,55269,3.2,10382,,,,
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",1998,"Glassdoor source: https://www.glassdoor.com/Reviews/lululemon-Reviews-E42589.htm
Indeed source: https://www.indeed.com/cmp/Lululemon-e2ea86c4/reviews
Comparably source: https://www.comparably.com/companies/lululemon",4.2,7743,4.1,1049,4.3,2108,,,,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927,"Glassdoor source: https://www.glassdoor.com/Reviews/Marriott-International-Reviews-E7790.htm
Indeed source: https://www.indeed.com/cmp/Marriott-International/reviews
Comparably source: https://www.comparably.com/companies/marriott",4,16163,4,18492,3.8,19033,,,,
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",1986,"Glassdoor source: https://www.glassdoor.com/Reviews/Match-Reviews-E15905.htm
Indeed source: https://www.indeed.com/cmp/Match-Group/reviews?start=20
Comparably source: https://www.comparably.com/companies/match-group",4,185,3.1,29,4.5,226,,,,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1889,"Glassdoor source: https://www.glassdoor.com/Reviews/McCormick-and-Company-Reviews-E1627.htm
Indeed source: https://www.indeed.com/cmp/Mccormick-&-Company/reviews
Comparably source: https://www.comparably.com/companies/mccormick-company",3.7,655,3.6,397,3.8,1128,,,,
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940,"Glassdoor source: https://www.glassdoor.com/Reviews/McDonald-s-Reviews-E432.htm
Indeed source: https://www.indeed.com/cmp/McDonald's/reviews
Comparably source: https://www.comparably.com/companies/mcdonalds",3.6,109599,3.5,147702,3,67628,,,,
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2004,"Glassdoor source: https://www.glassdoor.com/Reviews/Meta-Reviews-E40772.htm
Indeed source: https://www.indeed.com/cmp/Meta-dd1502f2/reviews
Comparably source: https://www.comparably.com/companies/meta",3.9,8674,4.1,557,4.6,45064,,,,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1986,"Glassdoor source: https://www.glassdoor.com/Reviews/MGM-Resorts-International-Reviews-E1260.htm
Indeed source: https://www.indeed.com/cmp/Mgm-Resorts-International/reviews
Comparably source: https://www.comparably.com/companies/mgm-resorts-international",3.8,2122,3.9,2332,3.9,1499,,,, 
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",1989,"Glassdoor source: https://www.glassdoor.com/Reviews/Microchip-Technology-Reviews-E2298.htm
Indeed source: https://www.indeed.com/cmp/Microchip-Technology/reviews
Comparably source: https://www.comparably.com/companies/microchip-technology",4,1933,3.6,304,3.9,1184,,,,
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1978,"Glassdoor source: https://www.glassdoor.com/Reviews/Micron-Technology-Reviews-E1648.htm
Indeed source: https://www.indeed.com/cmp/Micron-Technology,-Inc./reviews
Comparably source: https://www.comparably.com/companies/micron-technology",3.7,6186,3.7,1029,4.1,2583,,,,
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1975,"Glassdoor: https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm, Indeed: https://www.indeed.com/cmp/Microsoft/reviewshttps://www.comparably.com/companies/microsoft/competitors",4.3,42895,4.2,5506,4.1,52893,,,,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",1878,"https://www.glassdoor.com/Reviews/Mohawk-Industries-Reviews-E1644.htm, Indeed: https://www.indeed.com/cmp/Mohawk-Industries/reviews?start=480, Comparably: https://www.comparably.com/companies/mohawk-industries/competitors#",3.6,956,3.5,1629,3.2,776,,,,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois","2005 (Molson 1786, Coors 1873)","https://www.glassdoor.com/Reviews/Molson-Coors-Beverage-Company-Reviews-E1091.htm, https://www.indeed.com/companies/search?q=Molson+Coors+Beverage+Company, https://www.comparably.com/companies/molson-coors",3.9,1714,3.7,1047,3.6,588,,,,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012,"https://www.glassdoor.com/Reviews/Mondelēz-International-Reviews-E628257.htm, https://www.indeed.com/companies/search?q=mondelez+international, https://www.comparably.com/companies/mondelez-international",4,4026,3.9,5693,4.6,4781,,,,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",1997,"https://www.glassdoor.com/Search/results.htm?keyword=Monolithic%20Power%20Systems&locId=1&locT=N&locName=United%20States, https://www.indeed.com/companies/search?q=Monolithic+Power+Systems, https://www.comparably.com/companies/monolithic-power-systems",4.3,58,3.9,9,,,,,,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012 (1935),"https://www.glassdoor.com/Overview/Working-at-Monster-Beverage-Corporation-EI_IE333508.11,39.htm, https://www.indeed.com/companies/search?, q=Monster+Beverage, https://www.comparably.com/companies/monster-beverage",3.8,508,4,275,,,,,,
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1928 (2011),"https://www.glassdoor.com/Reviews/Motorola-Solutions-Reviews-E427189.htm, https://www.indeed.com/cmp/Motorola-Solutions, https://www.comparably.com/search?q=",4.1,3630,4.1,3180,3.5,348,,,,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1992,"https://www.glassdoor.com/Overview/Working-at-NetApp-EI_IE5406.11,17.htm, https://www.indeed.com/companies/search?q=NetApp, https://www.comparably.com/companies/netapp",4,5232,4.1,810,4.3,3123,,,,
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",1997,"https://www.glassdoor.com/Overview/Working-at-Netflix-EI_IE11891.11,18.htm, https://www.indeed.com/companies/search?q=Netflix, https://www.comparably.com/companies/netflix",4.2,2798,3.9,782,4.6,4165,,,,
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013 (News Corporation 1980),"https://www.glassdoor.com/Overview/Working-at-News-Corp-EI_IE3493.11,20.htm, https://www.indeed.com/cmp/News-Corp-1, https://www.comparably.com/companies/news-corp",3.6,894,3.6,811,4.5,379,,,,
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2013 (News Corporation 1980),"https://www.glassdoor.com/Overview/Working-at-News-Corp-EI_IE3493.11,20.htm, https://www.indeed.com/cmp/News-Corp-1, https://www.comparably.com/companies/news-corp",3.6,894,3.6,811,4.5,379,,,,
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964,"https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm, https://www.indeed.com/cmp/Nike, https://www.comparably.com/companies/nike",4.1,10999,4.1,12191,4.1,12486,,,,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2011 (1966),"https://www.glassdoor.com/Overview/Working-at-Norwegian-Cruise-Line-Holdings-Ltd-EI_IE9937.11,45.htm, https://www.indeed.com/cmp/Norwegian-Cruise-Line-Holdings-Ltd, https://www.comparably.com/companies/norwegian-cruise-line-holdings-lt",3.6,1664,3.8,1793,2.8,201,,,,
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",1993,"https://www.glassdoor.com/Overview/Working-at-NVIDIA-EI_IE7633.11,17.htm, https://www.indeed.com/companies/search?q=Nvidia, https://www.comparably.com/companies/nvidia",4.6,5492,4.2,288,4.6,4073,,,,
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",1980,"https://www.glassdoor.com/Overview/Working-at-NVR-EI_IE954.11,14.htm, https://www.indeed.com/cmp/Nvr,-Inc/reviews, https://www.comparably.com/companies/nvr",3.6,507,3.3,455,4.1,597,,,,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",1953,"https://www.glassdoor.com/Overview/Working-at-NXP-Semiconductors-EI_IE13528.11,29.htm, https://www.indeed.com/cmp/Nxp-Semiconductors/reviews, https://www.comparably.com/companies/nxp-semiconductors",4.1,2713,3.9,580,4,3726,,,,
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",1957,"https://www.glassdoor.com/Overview/Working-at-O-Reilly-Auto-Parts-EI_IE2328.11,30.htm, https://www.indeed.com/companies/search?q=O%27Reilly+Auto+Parts, https://www.comparably.com/companies/o-reilly-auto-parts",3.3,4121,3.3,9732,3.1,8977,,,,
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1986,"https://www.glassdoor.com/Overview/Working-at-Omnicom-Group-EI_IE1734.11,24.htm, https://www.indeed.com/cmp/Omnicom-Group, https://www.comparably.com/companies/omnicom-media-group",3.5,329,3.7,283,3.8,1069,,,,
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",1999,"https://www.glassdoor.com/Interview/ON-Semiconductor-Applications-Engineer-Interview-Questions-EI_IE8954767.0,16_KO17,38.htm#InterviewReview_78929246, https://www.indeed.com/companies/search?q=ON+Semiconductor, https://www.comparably.com/companies/on-semiconductor",2,31,3.8,755,4.1,304,,,,
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1977,"https://www.glassdoor.com/Overview/Working-at-Oracle-EI_IE1737.11,17.htm, https://www.indeed.com/cmp/Oracle, https://www.comparably.com/companies/oracle",3.8,53235,3.8,7135,3,19032,,,,
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2005,"https://www.glassdoor.com/Overview/Working-at-Palo-Alto-Networks-EI_IE115142.11,29.htm, https://www.indeed.com/cmp/Palo-Alto-Networks/reviews, https://www.comparably.com/companies/palo-alto-networks",4.1,2214,3.8,127,4.8,8379,,,,
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",2019 (Paramount Pictures 1912),"https://www.glassdoor.com/Overview/Working-at-Paramount-Global-EI_IE3243667.11,27.htm, https://www.indeed.com/cmp/Paramount-66ac57f4/reviews?fcountry=ALL, https://www.comparably.com/companies/paramount-pictures",3.6,10,3.9,2018,3.3,411,,,,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1898,"https://www.glassdoor.com/Overview/Working-at-PepsiCo-EI_IE522.11,18.htm, https://www.indeed.com/cmp/PepsiCo/reviews, https://www.comparably.com/companies/pepsico",4,20511,3.7,19758,3.9,11145,,,,
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008 (1847),"https://www.glassdoor.com/Overview/Working-at-Philip-Morris-International-EI_IE7745.11,38.htm, https://www.indeed.com/cmp/Philip-Morris-International/reviews, https://www.comparably.com/companies/philip-morris-international",4.1,5163,4.2,1945,4.5,1125,,,,
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",1993,"https://www.glassdoor.com/Reviews/POOLCORP-Reviews-E486524.htm, https://www.indeed.com/cmp/Poolcorp, https://www.comparably.com/companies/pool-corporation",3.6,396,3.2,297,,,,,,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1837,"https://www.glassdoor.com/Overview/Working-at-Procter-and-Gamble-EI_IE544.11,29.htm, https://www.indeed.com/cmp/Procter-&-Gamble/reviews, https://www.comparably.com/companies/procter-gamble",4.1,17411,4.1,7929,3.8,5652,,,,
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",1985,"https://www.glassdoor.com/Overview/Working-at-PTC-EI_IE1855.11,14.htm, https://www.indeed.com/cmp/Ptc-c5e4d329, https://www.comparably.com/companies/ptc",4.2,2687,3.7,229,4.2,900,,,,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1956,"https://www.glassdoor.com/Overview/Working-at-PulteGroup-EI_IE506.11,21.htm, https://www.indeed.com/cmp/Pultegroup,-Inc/reviews, https://www.comparably.com/companies/pulte-group",4,862,3.7,592,3.7,786,,,,
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015,"https://www.glassdoor.com/Overview/Working-at-Qorvo-EI_IE942369.11,16.htm, https://www.indeed.com/cmp/Qorvo, https://www.comparably.com/companies/qorvo",3.8,564,3.6,306,4.6,154,,,,
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1985,"https://www.glassdoor.com/Overview/Working-at-Qualcomm-EI_IE640.11,19.htm, https://www.indeed.com/cmp/Qualcomm/reviews, https://www.comparably.com/companies/qualcomm-incorporated",4,10594,4,1704,4.1,2578,,,,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1967,"https://www.glassdoor.com/Overview/Working-at-Ralph-Lauren-EI_IE2937.11,23.htm, https://www.indeed.com/cmp/Ralph-Lauren, https://www.comparably.com/companies/ralph-lauren-corporation",3.9,4250,3.8,3379,2.9,1787,,,,
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",1981,"https://www.glassdoor.com/Overview/Working-at-Roper-Technologies-EI_IE930.11,29.htm,https://www.indeed.com/cmp/Roper-Technologies,-Inc, https://www.comparably.com/companies/roper-technologies",3.8,43,3.8,6,,,,,,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",1982,"https://www.glassdoor.com/Overview/Working-at-Ross-Stores-EI_IE1843.11,22.htm, https://www.indeed.com/cmp/Ross-Dress-For-Less, https://www.comparably.com/companies/ross-stores",3.2,10053,3.3,17324,2.9,10248,,,,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1997,"(Comparably for international) https://www.glassdoor.com/Overview/Working-at-Royal-Caribbean-Group-EI_IE3579.11,32.htm
 https://www.indeed.com/cmp/Royal-Caribbean-Group-3
 https://www.comparably.com/companies/royal-caribbean-international",3.9,2839,4.2,2564,4.7,1808,,,,
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",1999,"https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.11,21.htm
https://www.indeed.com/cmp/Salesforce
https://www.comparably.com/companies/salesforce",4.1,19584,4.3,1167,4.6,7793,,,,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1979,"https://www.glassdoor.com/Overview/Working-at-Seagate-Technology-EI_IE1864.11,29.htm
https://www.indeed.com/cmp/Seagate-Technology/reviews
https://www.comparably.com/companies/seagate-technology",3.6,3021,3.8,880,2.5,1731,,,,
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2003,"Glassdoor source: https://www.glassdoor.com/Reviews/ServiceNow-Reviews-E403326.htm
Indeed source: https://www.indeed.com/cmp/Servicenow/reviews
Comparably source: https://www.comparably.com/companies/servicenow-the-enterprise-cloud-company",4.4,3915,3.7,248,4.6,3882,,,,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2002,"Glassdoor source: https://www.glassdoor.com/Reviews/Skyworks-Solutions-Reviews-E762.htm
Indeed source: https://www.indeed.com/cmp/Skyworks-Solutions/reviews
Comparably source: https://www.comparably.com/companies/skyworks-solutions",3.6,502,3.8,323,4.1,207,,,,
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",1897,"Glassdoor source: https://www.glassdoor.com/Reviews/The-J-M-Smucker-Co-Reviews-E362.htm
Indeed source: https://www.indeed.com/cmp/The-J.-M.-Smucker-Company/reviews
Comparably source: https://www.comparably.com/companies/j-m-smucker-company",3.6,803,3.5,610,4.5,860,,,,
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",1971,"Glassdoor source: https://www.glassdoor.com/Reviews/Starbucks-Reviews-E2202.htm
Indeed source: https://www.indeed.com/cmp/Starbucks/reviews
Comparably source: https://www.comparably.com/companies/starbucks",3.6,67851,3.8,65742,4.2,24242,,,,
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",1986,"Glassdoor source: https://www.glassdoor.com/Reviews/Synopsys-Reviews-E2143.htm
Indeed source: https://www.indeed.com/cmp/Synopsys/reviews
Comparably source: https://www.comparably.com/companies/synopsys-inc",4,3371,4.1,311,4.7,37112,,,,
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1969,"Glassdoor source: https://www.glassdoor.com/Reviews/Sysco-Reviews-E634.htm
Indeed source: https://www.indeed.com/cmp/Sysco/reviews
Comparably source: https://www.comparably.com/companies/sysco",3.3,3962,3.2,6380,3.6,4089,,,,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1994,"Glassdoor source: https://www.glassdoor.com/Reviews/T-Mobile-Reviews-E9302.htm
Indeed source: https://www.indeed.com/cmp/T--Mobile/reviews
Comparably source: https://www.comparably.com/companies/t-mobile",3.7,19869,3.7,27600,4.4,20297,,,,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",1993,"Glassdoor source: https://www.glassdoor.com/Reviews/Take-Two-Reviews-E7413.htm
Indeed source: https://www.indeed.com/cmp/Take--two-Interactive-Software,-Inc./reviews
Comparably source: https://www.comparably.com/companies/take-two-interactive-software",3.8,164,3.6,14,3.7,245,,,,
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2017,"(Comparably only had subsidiary data available)

Glassdoor source: https://www.glassdoor.com/Reviews/Tapestry-Reviews-E2104316.htm
Indeed source: https://www.indeed.com/cmp/Tapestry-728c0b6e/reviews
Comparably source: https://www.comparably.com/companies/coach",4,334,3.9,66,4.5,1432,,,,
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1902,"Glassdoor source: https://www.glassdoor.com/Reviews/Target-Reviews-E194.htm
Indeed source: https://www.indeed.com/cmp/Target/reviews
Comparably source: https://www.comparably.com/companies/target",3.5,79851,3.5,72955,3.7,51404,,,,
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2007,"Glassdoor source: https://www.glassdoor.com/Reviews/TE-Connectivity-Reviews-E18055.htm
Indeed source: https://www.indeed.com/cmp/Te-Connectivity/reviews
Comparably source: https://www.comparably.com/companies/te-connectivity",3.7,2566,3.7,2218,4.2,2454,,,,
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1960,"Glassdoor source: https://www.glassdoor.com/Reviews/Teledyne-Technologies-Reviews-E9818.htm
Indeed source: https://www.indeed.com/cmp/Teledyne/reviews
Comparably source: https://www.comparably.com/companies/teledyne-technologies",3.4,886,3.5,935,2.5,428,,,,
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",1960,"Glassdoor source: https://www.glassdoor.com/Reviews/Teradyne-Reviews-E647.htm
Indeed source: https://www.indeed.com/cmp/Teradyne/reviews
Comparably source: https://www.comparably.com/companies/teradyne",4.2,496,4.2,223,4.6,388,,,,
